Gen,Gen ID
BnaC07g34540D,GSBRNA2T00031244001
BnaC07g34250D,GSBRNA2T00031281001
BnaC07g33500D,GSBRNA2T00031382001
BnaC07g32980D,GSBRNA2T00031462001
BnaC09g43660D,GSBRNA2T00031507001
BnaC09g43630D,GSBRNA2T00031512001
BnaC09g43380D,GSBRNA2T00031546001
BnaC09g43370D,GSBRNA2T00031548001
BnaC09g43190D,GSBRNA2T00031578001
BnaC09g42780D,GSBRNA2T00031639001
BnaC09g42760D,GSBRNA2T00031641001
BnaC09g42740D,GSBRNA2T00031643001
BnaC08g45100D,GSBRNA2T00031711001
BnaC08g44880D,GSBRNA2T00031735001
BnaC08g44820D,GSBRNA2T00031741001
BnaC08g44620D,GSBRNA2T00031767001
BnaC08g44610D,GSBRNA2T00031769001
BnaC08g44600D,GSBRNA2T00031770001
BnaC08g43890D,GSBRNA2T00031857001
BnaC08g43550D,GSBRNA2T00031896001
BnaC05g04140D,GSBRNA2T00031986001
BnaC05g04350D,GSBRNA2T00032011001
BnaC05g04890D,GSBRNA2T00032070001
BnaC05g05170D,GSBRNA2T00032102001
BnaC05g05190D,GSBRNA2T00032104001
BnaCnng02920D,GSBRNA2T00032299001
BnaCnng02950D,GSBRNA2T00032302001
BnaC03g70650D,GSBRNA2T00032509001
BnaC09g11240D,GSBRNA2T00032732001
BnaC09g11260D,GSBRNA2T00032740001
BnaC09g11930D,GSBRNA2T00032829001
BnaA04g12860D,GSBRNA2T00032859001
BnaA04g13230D,GSBRNA2T00032916001
BnaC05g25340D,GSBRNA2T00032956001
BnaC03g69760D,GSBRNA2T00033046001
BnaC09g32980D,GSBRNA2T00033413001
BnaC06g06220D,GSBRNA2T00033534001
BnaC03g74750D,GSBRNA2T00033737001
BnaAnng41590D,GSBRNA2T00033806001
BnaA02g34960D,GSBRNA2T00033853001
BnaA02g35010D,GSBRNA2T00033860001
BnaCnng37950D,GSBRNA2T00033972001
BnaA09g29890D,GSBRNA2T00034004001
BnaAnng41850D,GSBRNA2T00034185001
BnaCnng38260D,GSBRNA2T00034223001
BnaCnng78700D,GSBRNA2T00034312001
BnaC03g72600D,GSBRNA2T00034359001
BnaCnng78750D,GSBRNA2T00034442001
BnaCnng38620D,GSBRNA2T00034534001
BnaCnng38630D,GSBRNA2T00034535001
BnaC07g49710D,GSBRNA2T00034570001
BnaA06g12620D,GSBRNA2T00034808001
BnaA06g12420D,GSBRNA2T00034833001
BnaA06g12350D,GSBRNA2T00034841001
BnaA06g12110D,GSBRNA2T00034872001
BnaA06g11890D,GSBRNA2T00034897001
BnaA09g26740D,GSBRNA2T00035029001
BnaA02g23660D,GSBRNA2T00035186001
BnaC09g42490D,GSBRNA2T00035206001
BnaC09g42430D,GSBRNA2T00035215001
BnaC09g41840D,GSBRNA2T00035290001
BnaC09g41590D,GSBRNA2T00035326001
BnaC09g41580D,GSBRNA2T00035328001
