gene_id,VMrep1,VMrep2,VMrep3,Trep1,Trep2,Trep3
ENSRNA049441668,5,0,0,0,0,0
ENSRNA049441675,0,0,0,0,0,0
ENSRNA049441692,9,8,16,0,0,0
ENSRNA049441699,0,0,0,0,0,0
ENSRNA049441721,0,0,0,0,0,0
ENSRNA049441733,0,0,0,0,0,0
ENSRNA049441741,0,0,0,0,0,0
ENSRNA049441750,0,0,0,0,0,0
ENSRNA049441768,0,0,0,0,0,0
ENSRNA049441777,0,0,0,0,0,0
ENSRNA049441800,0,0,0,0,0,0
ENSRNA049441812,0,0,0,0,0,1
ENSRNA049441827,0,0,0,0,0,0
ENSRNA049441834,0,0,0,0,0,0
ENSRNA049441909,0,0,0,0,0,0
ENSRNA049441929,0,2,1,0,0,0
ENSRNA049441941,0,0,0,0,0,0
ENSRNA049441949,0,0,0,0,0,0
ENSRNA049441957,0,0,0,0,0,0
ENSRNA049441971,0,0,0,0,0,0
ENSRNA049442002,0,0,0,0,0,0
ENSRNA049442015,0,0,0,0,0,0
ENSRNA049442022,0,0,0,0,0,0
ENSRNA049442027,0,0,0,0,0,0
ENSRNA049442053,0,0,0,0,0,0
ENSRNA049442058,0,0,0,0,0,0
ENSRNA049442083,0,0,0,0,0,0
ENSRNA049442103,0,0,0,0,0,0
ENSRNA049442185,0,0,0,0,0,0
ENSRNA049442248,0,0,0,0,0,0
ENSRNA049442258,0,0,0,0,0,0
ENSRNA049442271,0,0,0,0,0,0
ENSRNA049442278,0,0,0,0,0,0
ENSRNA049442325,0,0,0,0,0,0
ENSRNA049442331,0,0,0,0,0,0
ENSRNA049442356,0,0,0,0,0,0
ENSRNA049442365,0,0,0,0,0,0
ENSRNA049442392,0,0,0,0,0,0
ENSRNA049442403,0,0,0,0,0,0
ENSRNA049442416,0,0,0,0,0,0
ENSRNA049442430,0,0,1,0,0,0
ENSRNA049442440,0,0,0,0,0,0
ENSRNA049442449,0,0,0,0,0,0
ENSRNA049442479,0,0,0,0,0,0
ENSRNA049442495,0,0,0,0,0,0
ENSRNA049442514,0,0,0,0,0,0
ENSRNA049442523,0,0,0,0,0,0
ENSRNA049442535,0,0,0,0,0,0
ENSRNA049442549,0,0,0,0,0,0
ENSRNA049442565,0,0,0,0,0,0
ENSRNA049442575,0,0,0,0,0,0
ENSRNA049442593,0,0,0,0,0,0
ENSRNA049442621,0,0,0,0,0,0
ENSRNA049442660,0,0,0,0,0,0
ENSRNA049442708,0,0,0,0,0,0
ENSRNA049442717,2,0,0,0,0,0
ENSRNA049442727,0,0,0,0,0,0
ENSRNA049442733,0,0,0,0,0,0
ENSRNA049442746,0,0,0,0,0,0
ENSRNA049442754,0,0,0,0,0,0
ENSRNA049442768,0,0,0,0,0,0
ENSRNA049442776,0,1,0,0,0,0
ENSRNA049442796,0,0,0,0,0,0
ENSRNA049442801,0,0,0,0,0,0
ENSRNA049442807,0,0,0,0,0,0
ENSRNA049442820,0,0,0,0,0,0
ENSRNA049442833,0,0,0,0,0,0
ENSRNA049442839,0,0,0,0,0,0
ENSRNA049442842,0,0,0,0,0,0
ENSRNA049442858,1,0,0,0,0,3
ENSRNA049442865,0,0,0,0,0,0
ENSRNA049442873,0,0,0,0,0,0
ENSRNA049442889,0,0,0,0,0,0
ENSRNA049442903,0,0,0,0,0,0
ENSRNA049442912,0,0,0,0,0,0
ENSRNA049442924,3,6,3,0,0,0
ENSRNA049442930,0,0,0,0,0,1
ENSRNA049442940,0,0,0,0,0,0
ENSRNA049442945,0,0,0,21,0,0
ENSRNA049442950,0,0,0,0,0,0
ENSRNA049442963,0,0,0,0,0,0
ENSRNA049442985,0,0,0,0,0,0
ENSRNA049443002,0,0,0,0,0,0
ENSRNA049443005,0,0,0,0,0,0
ENSRNA049443025,0,0,0,0,0,0
ENSRNA049443038,0,0,0,0,0,0
ENSRNA049443049,0,0,0,0,0,0
ENSRNA049443056,0,1,0,0,0,0
ENSRNA049443076,0,0,0,0,0,0
ENSRNA049443115,0,0,0,0,0,0
ENSRNA049443120,0,0,0,0,0,0
ENSRNA049443127,0,0,0,0,0,0
ENSRNA049443143,0,0,0,0,0,0
ENSRNA049443147,0,0,0,0,0,0
ENSRNA049443310,0,0,0,0,0,0
ENSRNA049443323,0,0,0,0,0,0
ENSRNA049443343,0,0,0,0,0,0
ENSRNA049443359,0,0,0,0,0,0
ENSRNA049443372,0,0,0,0,0,0
ENSRNA049443388,0,0,0,0,0,0
ENSRNA049443393,0,0,0,0,0,0
ENSRNA049443401,0,0,0,27,0,0
ENSRNA049443424,0,0,0,0,0,0
ENSRNA049443443,0,0,0,0,0,0
ENSRNA049443457,0,0,0,0,0,0
ENSRNA049443497,0,0,0,0,0,4
ENSRNA049443509,0,0,0,0,0,0
ENSRNA049443521,0,0,0,0,0,0
ENSRNA049443529,0,0,0,0,0,0
ENSRNA049443559,0,0,0,0,0,0
ENSRNA049443583,0,0,0,0,0,0
ENSRNA049443593,0,0,0,0,0,0
ENSRNA049443655,0,0,0,0,0,0
ENSRNA049443665,0,0,0,0,0,0
ENSRNA049443673,0,0,0,0,0,0
ENSRNA049443691,0,0,0,0,0,0
ENSRNA049443704,0,0,0,0,0,0
ENSRNA049443710,0,0,0,0,0,0
ENSRNA049443835,0,0,0,0,0,0
ENSRNA049443849,0,0,0,0,0,0
ENSRNA049443853,0,0,0,0,0,0
ENSRNA049443889,0,0,0,0,0,0
ENSRNA049443914,0,0,0,0,0,0
ENSRNA049443923,0,0,0,0,0,0
ENSRNA049443935,0,0,0,0,0,0
ENSRNA049443945,0,0,0,0,0,0
ENSRNA049443948,0,0,0,0,0,0
ENSRNA049443951,0,0,0,0,0,1
ENSRNA049443956,0,0,0,0,0,0
ENSRNA049443976,0,0,0,0,0,0
ENSRNA049443994,0,0,0,0,0,0
ENSRNA049444001,0,0,0,0,0,0
ENSRNA049444009,0,0,0,0,0,0
ENSRNA049444023,0,0,0,0,0,0
ENSRNA049444036,0,0,0,0,0,0
ENSRNA049444044,0,0,0,0,0,0
ENSRNA049444054,0,0,1,0,0,0
ENSRNA049444085,0,0,0,0,0,1
ENSRNA049444087,0,0,0,0,0,0
ENSRNA049444110,0,0,0,0,0,0
ENSRNA049444123,0,0,0,0,0,0
ENSRNA049444136,0,0,0,0,0,0
ENSRNA049444144,0,0,0,0,0,0
ENSRNA049444160,0,0,0,0,0,0
ENSRNA049444166,0,0,0,0,0,0
ENSRNA049444176,0,0,0,0,0,0
ENSRNA049444197,0,0,0,0,0,0
ENSRNA049444205,0,0,0,0,0,0
ENSRNA049444209,0,0,0,0,0,0
ENSRNA049444218,0,0,0,0,0,0
ENSRNA049444237,0,0,0,0,0,0
ENSRNA049444259,0,0,0,0,0,0
ENSRNA049444269,0,0,0,0,0,0
ENSRNA049444309,0,0,0,0,0,0
ENSRNA049444381,0,0,0,0,0,0
ENSRNA049444391,0,0,0,0,0,0
ENSRNA049444398,0,0,0,0,0,0
ENSRNA049444430,0,0,0,0,0,0
ENSRNA049444448,0,0,1,0,0,0
ENSRNA049444455,0,0,0,0,0,0
ENSRNA049444467,0,0,0,0,0,0
ENSRNA049444470,0,0,0,0,0,0
ENSRNA049444473,0,0,0,0,0,0
ENSRNA049444481,0,0,0,0,0,0
